epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,4600.77,0.61182,0.48741,1.26719,0.96675,1,0.995,0.86483,0.60105,0.44438,1.19556,0.00039125,0.00039125,0.00039125
67,4672.46,0.64216,0.50012,1.3059,0.96621,1,0.99,0.84923,0.62989,0.45347,1.20681,0.0003665,0.0003665,0.0003665
68,4743.41,0.62768,0.50404,1.32568,0.966,1,0.99312,0.84765,0.6449,0.45511,1.20782,0.00034175,0.00034175,0.00034175
69,4810.02,0.62872,0.48443,1.28519,0.96637,1,0.995,0.83828,0.64354,0.4524,1.20656,0.000317,0.000317,0.000317
70,4871.74,0.62129,0.47741,1.31186,0.9671,1,0.995,0.84773,0.62222,0.46976,1.20599,0.00029225,0.00029225,0.00029225
71,4931.83,0.49045,0.51294,1.22877,0.96659,1,0.99,0.82435,0.67361,0.45639,1.23921,0.0002675,0.0002675,0.0002675
72,4990.44,0.47223,0.43456,1.18893,0.96657,1,0.98906,0.85263,0.65618,0.4658,1.2328,0.00024275,0.00024275,0.00024275
73,5049.36,0.46802,0.40987,1.18635,0.96662,1,0.99,0.83393,0.70769,0.4821,1.24312,0.000218,0.000218,0.000218
74,5108.08,0.46374,0.43039,1.18717,0.9667,1,0.99,0.85592,0.64233,0.4804,1.21468,0.00019325,0.00019325,0.00019325
75,5167.62,0.4471,0.38322,1.13812,0.96652,1,0.98719,0.85303,0.59834,0.45229,1.18808,0.0001685,0.0001685,0.0001685
76,5228.23,0.45592,0.41715,1.16935,0.96667,1,0.98719,0.84138,0.60883,0.43844,1.1825,0.00014375,0.00014375,0.00014375
77,5433.65,0.45906,0.38742,1.19233,0.96673,1,0.99,0.85349,0.589,0.42582,1.16777,0.000119,0.000119,0.000119
78,5501.06,0.45138,0.39319,1.15773,0.9667,1,0.99,0.85376,0.60418,0.43637,1.17184,9.425e-05,9.425e-05,9.425e-05
79,5558.3,0.45862,0.37479,1.18144,0.96667,1,0.99,0.83718,0.62799,0.44801,1.18737,6.95e-05,6.95e-05,6.95e-05
80,5614.84,0.40305,0.35783,1.11628,0.96665,1,0.99,0.83615,0.63457,0.44093,1.19594,4.475e-05,4.475e-05,4.475e-05
